City;CloseDate;EntityIDRoundID;IndustryCode;Industry Group;Industry Segment;Metropolitan Statistical Area;PrimaryRegion;RoundBusStat;RoundClassDescr;State;Subregion;Deals;Number of Deals;Raised
San Diego;3/31/2011;6,13E+16;Communications Software;Information Technology;Software;San Diego-Carlsbad-San Marcos, COAH;Southern California;Product Development;Seed Round;COAH;San Diego Metro;1;1;1
San Francisco;04/01/2011;6,15E+15;General Business Consulting;Business and Financial Services;Business Support Services;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;First Round;COAH;San Francisco Bay Area;1;1;2.23
Redwood City;04/01/2011;94903758079;Therapeutic Devices (Minimally Invasive/Noninvasive);Healthcare;Medical Devices and Equipment;San Francisco-Oakland-Fremont, COAH;Northern California;Clinical Trials - Generic;Later Stage;COAH;San Francisco Bay Area;1;1;8.11
South San Francisco;04/01/2011;75401758224;Biotechnology Therapeutics;Healthcare;Biopharmaceuticals;San Francisco-Oakland-Fremont, COAH;Northern California;Clinical Trials - Phase 3;Later Stage;COAH;San Francisco Bay Area;1;1;17.47
San Francisco;04/01/2011;6,14E+16;Business Applications Software;Information Technology;Software;San Francisco-Oakland-Fremont, COAH;Northern California;Startup;First Round;COAH;San Francisco Bay Area;1;1;3.71
Venice;04/01/2011;6,13E+16;Communications Software;Information Technology;Software;Los Angeles-Long Beach-Santa Ana, COAH;Southern California;Generating Revenue;First Round;COAH;Los Angeles Metro;1;1;1.6
Foster City;04/01/2011;56663759972;Business Applications Software;Information Technology;Software;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;2
San Francisco;04/04/2011;3,54E+16;Healthcare Administration Software;Healthcare;Medical Software and Information Services;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;23
San Francisco;04/05/2011;6,13E+16;Educational/Training Media and Services;Consumer Services;Media and Content;San Francisco-Oakland-Fremont, COAH;Northern California;Product Development;First Round;COAH;San Francisco Bay Area;1;1;2.5
San Francisco;04/05/2011;6,11E+16;Shopping Facilitators;Consumer Services;Consumer Information Services;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;Second Round;COAH;San Francisco Bay Area;1;1;4.48
Palo Alto;04/06/2011;6,14E+16;Communications Software;Information Technology;Software;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Product Development;First Round;COAH;San Francisco Bay Area;1;1;17.5
Santa Clara;04/06/2011;4,71E+16;Consumer Electronics;Information Technology;Electronics and Computer Hardware;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;37.29
Sunnyvale;04/07/2011;96030758223;Medical Devices and Equipment: TBA;Healthcare;Medical Devices and Equipment;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Product Development;Later Stage;COAH;San Francisco Bay Area;1;1;8.23
Los Angeles;04/08/2011;6,06E+16;Shopping Facilitators;Consumer Services;Consumer Information Services;Los Angeles-Long Beach-Santa Ana, COAH;Southern California;Product Development;Later Stage;COAH;Los Angeles Metro;1;1;14.12
Pleasanton;04/08/2011;90141761239;Integrated Circuit Production;Information Technology;Semiconductors;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;1.5
San Francisco;04/11/2011;6,04E+16;Data Management Services;Business and Financial Services;Business Support Services;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;Second Round;COAH;San Francisco Bay Area;1;1;2
Oakland;04/11/2011;60324757888;Solar Energy;Energy and Utilities;Renewable Energy;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;Corporate;COAH;San Francisco Bay Area;1;1;168
Redwood City;04/12/2011;1,06E+16;Communications Software;Information Technology;Software;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;5
Cupertino;4/13/2011;77681758504;Network/Systems Management Software;Information Technology;Software;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Generating Revenue;Restart;COAH;San Francisco Bay Area;1;1;3.37
San Francisco;4/13/2011;6,04E+16;Recreational/Home Software;Information Technology;Software;San Francisco-Oakland-Fremont, COAH;Northern California;Product Development;Second Round;COAH;San Francisco Bay Area;1;1;10.7
Los Angeles;4/14/2011;1,83E+16;Entertainment;Consumer Services;Consumer Information Services;Los Angeles-Long Beach-Santa Ana, COAH;Southern California;Generating Revenue;Later Stage;COAH;Los Angeles Metro;1;1;3.42
Santa Clara;4/14/2011;58911758219;Surgical Devices;Healthcare;Medical Devices and Equipment;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Product Development;Later Stage;COAH;San Francisco Bay Area;1;1;35
San Diego;4/14/2011;63567758239;Biotechnology Therapeutics;Healthcare;Biopharmaceuticals;San Diego-Carlsbad-San Marcos, COAH;Southern California;Clinical Trials - Phase 2;Second Round;COAH;San Diego Metro;1;1;19.2
San Francisco;4/15/2011;90740758916;Online Communities;Consumer Services;Consumer Information Services;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;10
Mountain View;4/15/2011;63544753217;Biofuels/Biomass;Energy and Utilities;Renewable Energy;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;22
Mountain View;4/15/2011;3,54E+16;Solar Energy;Energy and Utilities;Renewable Energy;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Product Development;Second Round;COAH;San Francisco Bay Area;1;1;
Palo Alto;4/15/2011;2,29E+16;Biotechnology Therapeutics;Healthcare;Biopharmaceuticals;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Product Development;Second Round;COAH;San Francisco Bay Area;1;1;3.55
Mountain View;4/15/2011;6,15E+16;Database Software;Information Technology;Software;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Generating Revenue;First Round;COAH;San Francisco Bay Area;1;1;3
Palo Alto;4/15/2011;6,04E+16;Educational/Training Software;Information Technology;Software;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Product Development;Later Stage;COAH;San Francisco Bay Area;1;1;1.95
San Francisco;4/18/2011;1,11E+16;Human Resources/Recruitment;Business and Financial Services;Business Support Services;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;15.75
Santa Clara;4/18/2011;65250758705;Medical/Lab Services;Healthcare;Healthcare Services;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Product Development;Later Stage;COAH;San Francisco Bay Area;1;1;28.8
Los Angeles;4/18/2011;6,13E+16;Business Applications Software;Information Technology;Software;Los Angeles-Long Beach-Santa Ana, COAH;Southern California;Generating Revenue;First Round;COAH;Los Angeles Metro;1;1;5.4
Mountain View;4/18/2011;95766759319;Wireless Communications Equipment;Information Technology;Communications and Networking;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;6.94
San Francisco;4/19/2011;6,13E+16;Entertainment;Consumer Services;Consumer Information Services;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;First Round;COAH;San Francisco Bay Area;1;1;0.3
Monterey;4/19/2011;6,10E+16;Containers/Packaging;Industrial Goods and Materials;Machinery and Industrial Goods;Salinas, COAH;Northern California;Generating Revenue;First Round;COAH;;1;1;2.3
San Francisco;4/20/2011;6,15E+16;Consumer Information Services: Other;Consumer Services;Consumer Information Services;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;First Round;COAH;San Francisco Bay Area;1;1;2.4
Hayward;4/20/2011;57516758707;Biofuels/Biomass;Energy and Utilities;Renewable Energy;San Francisco-Oakland-Fremont, COAH;Northern California;Product Development;Later Stage;COAH;San Francisco Bay Area;1;1;3.72
Palo Alto;4/20/2011;88728758875;Business Applications Software;Information Technology;Software;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;50
San Francisco;4/21/2011;6,13E+15;Shopping Facilitators;Consumer Services;Consumer Information Services;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;First Round;COAH;San Francisco Bay Area;1;1;1.3
Burbank;4/22/2011;1,02E+16;Retail Investment Services/Brokerages;Business and Financial Services;Financial Institutions and Services;Los Angeles-Long Beach-Santa Ana, COAH;Southern California;Profitable;Later Stage;COAH;Los Angeles Metro;1;1;4.6
San Mateo;4/22/2011;6,05E+16;Data Management Services;Business and Financial Services;Business Support Services;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;Second Round;COAH;San Francisco Bay Area;1;1;9.25
Palo Alto;4/22/2011;6,10E+16;Shopping Facilitators;Consumer Services;Consumer Information Services;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Product Development;Second Round;COAH;San Francisco Bay Area;1;1;3.36
San Diego;4/22/2011;6,04E+16;Wireless Communications Equipment;Information Technology;Communications and Networking;San Diego-Carlsbad-San Marcos, COAH;Southern California;Generating Revenue;Corporate;COAH;San Diego Metro;1;1;18
San Francisco;4/22/2011;6,15E+16;Business Applications Software;Information Technology;Software;San Francisco-Oakland-Fremont, COAH;Northern California;Product Development;Seed Round;COAH;San Francisco Bay Area;1;1;
Encinitas;4/25/2011;6,14E+16;Sports/Leisure Goods;Consumer Goods;Personal Goods;San Diego-Carlsbad-San Marcos, COAH;Southern California;Generating Revenue;First Round;COAH;San Diego Metro;1;1;1.6
San Francisco;4/25/2011;1,12E+16;Online Communities;Consumer Services;Consumer Information Services;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;Second Round;COAH;San Francisco Bay Area;1;1;10
Mountain View;4/25/2011;1,14E+16;Therapeutic Devices (Invasive);Healthcare;Medical Devices and Equipment;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;7
Palo Alto;4/25/2011;6,13E+16;Network/Systems Management Software;Information Technology;Software;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Product Development;First Round;COAH;San Francisco Bay Area;1;1;13.75
Goleta;4/25/2011;61039759025;Fiberoptic Equipment;Information Technology;Communications and Networking;Santa Barbara-Santa Maria-Goleta, COAH;Southern California;Generating Revenue;Restart;COAH;;1;1;3.63
San Francisco;4/25/2011;6,13E+16;Communications Software;Information Technology;Software;San Francisco-Oakland-Fremont, COAH;Northern California;Product Development;Seed Round;COAH;San Francisco Bay Area;1;1;1.2
Menlo Park;4/26/2011;6,07E+15;Online Communities;Consumer Services;Consumer Information Services;San Francisco-Oakland-Fremont, COAH;Northern California;Profitable;Second Round;COAH;San Francisco Bay Area;1;1;18
San Francisco;4/26/2011;78035758805;Diagnostic Equipment (Not Imaging);Healthcare;Medical Devices and Equipment;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;15
Irvine;4/26/2011;1,82E+16;Therapeutic Devices (Minimally Invasive/Noninvasive);Healthcare;Medical Devices and Equipment;Los Angeles-Long Beach-Santa Ana, COAH;Southern California;Generating Revenue;Second Round;COAH;Orange County;1;1;17.26
San Mateo;4/26/2011;3,53E+16;Database Software;Information Technology;Software;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;1.73
Sunnyvale;4/26/2011;82442758537;Communications Software;Information Technology;Software;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Profitable;Later Stage;COAH;San Francisco Bay Area;1;1;
San Francisco;4/27/2011;6,13E+16;Clothing/Accessories;Consumer Goods;Personal Goods;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;First Round;COAH;San Francisco Bay Area;1;1;1.3
Anaheim;4/27/2011;1,11E+16;Automobiles;Consumer Goods;Vehicles and Parts;Los Angeles-Long Beach-Santa Ana, COAH;Southern California;Generating Revenue;Later Stage;COAH;Orange County;1;1;115
Richmond;4/27/2011;6,05E+16;Solar Energy;Energy and Utilities;Renewable Energy;San Francisco-Oakland-Fremont, COAH;Northern California;Product Development;Second Round;COAH;San Francisco Bay Area;1;1;5
Sunnyvale;4/27/2011;61541759042;Surgical Devices;Healthcare;Medical Devices and Equipment;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;7.45
Palo Alto;4/27/2011;6,14E+16;Business Applications Software;Information Technology;Software;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Generating Revenue;First Round;COAH;San Francisco Bay Area;1;1;12.6
San Jose;4/27/2011;2,29E+16;Data Storage;Information Technology;Electronics and Computer Hardware;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Product Development;Second Round;COAH;San Francisco Bay Area;1;1;15
San Francisco;4/28/2011;6,09E+16;Advertising/Marketing;Business and Financial Services;Business Support Services;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;First Round;COAH;San Francisco Bay Area;1;1;2.5
San Francisco;4/28/2011;6,13E+16;Data Management Services;Business and Financial Services;Business Support Services;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;First Round;COAH;San Francisco Bay Area;1;1;6.5
San Francisco;4/28/2011;6,14E+16;Business to Business Marketplaces;Business and Financial Services;Business Support Services;San Francisco-Oakland-Fremont, COAH;Northern California;Profitable;First Round;COAH;San Francisco Bay Area;1;1;35
San Mateo;4/28/2011;63196758626;Project/Document Collaboration;Business and Financial Services;Business Support Services;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;12
Santa Monica;4/28/2011;6,13E+15;Wind/Water and Geothermal Energy;Energy and Utilities;Renewable Energy;Los Angeles-Long Beach-Santa Ana, COAH;Southern California;Generating Revenue;First Round;COAH;Los Angeles Metro;1;1;1.5
Sunnyvale;4/28/2011;6,10E+16;Drug Delivery;Healthcare;Biopharmaceuticals;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Pre-Clinical Trials;First Round;COAH;San Francisco Bay Area;1;1;1
Tustin;4/28/2011;6,13E+16;Diagnostic Equipment (Not Imaging);Healthcare;Medical Devices and Equipment;Los Angeles-Long Beach-Santa Ana, COAH;Southern California;Product Development;First Round;COAH;Orange County;1;1;0.2
San Francisco;4/29/2011;6,14E+16;Shopping Facilitators;Consumer Services;Consumer Information Services;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;First Round;COAH;San Francisco Bay Area;1;1;3.25
San Francisco;4/29/2011;6,12E+16;Entertainment;Consumer Services;Consumer Information Services;San Francisco-Oakland-Fremont, COAH;Northern California;Product Development;First Round;COAH;San Francisco Bay Area;1;1;20.1
Aliso Viejo;4/29/2011;1,04E+15;Therapeutic Devices (Minimally Invasive/Noninvasive);Healthcare;Medical Devices and Equipment;Los Angeles-Long Beach-Santa Ana, COAH;Southern California;Generating Revenue;Later Stage;COAH;Orange County;1;1;15.92
Carlsbad;4/29/2011;79385758996;Surgical Devices;Healthcare;Medical Devices and Equipment;San Diego-Carlsbad-San Marcos, COAH;Southern California;Generating Revenue;Later Stage;COAH;San Diego Metro;1;1;0.5
Menlo Park;4/29/2011;1,15E+16;Wireless Telecommunications Service Providers;Information Technology;Communications and Networking;San Francisco-Oakland-Fremont, COAH;Northern California;Startup;First Round;COAH;San Francisco Bay Area;1;1;8
San Francisco;4/29/2011;1,11E+15;Multimedia/Streaming Software;Information Technology;Software;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;Second Round;COAH;San Francisco Bay Area;1;1;0.3
Palo Alto;4/30/2011;6,11E+16;Online Communities;Consumer Services;Consumer Information Services;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Generating Revenue;Second Round;COAH;San Francisco Bay Area;1;1;5
San Francisco;4/30/2011;6,14E+16;Specialty Retailers;Consumer Services;Retailers;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;Second Round;COAH;San Francisco Bay Area;1;1;1.1
Los Angeles;4/30/2011;6,15E+16;To Be Assigned;To Be Assigned;To Be Assigned;Los Angeles-Long Beach-Santa Ana, COAH;Southern California;Startup;First Round;COAH;Los Angeles Metro;1;1;
Burlingame;05/02/2011;1,07E+16;Human Resources/Recruitment;Business and Financial Services;Business Support Services;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;15
San Francisco;05/02/2011;2,28E+16;Entertainment;Consumer Services;Consumer Information Services;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;0.5
Marina del Rey;05/02/2011;1,14E+16;Entertainment;Consumer Services;Consumer Information Services;Los Angeles-Long Beach-Santa Ana, COAH;Southern California;Generating Revenue;Later Stage;COAH;Los Angeles Metro;1;1;4
San Rafael;05/02/2011;98510761290;Solar Energy;Energy and Utilities;Renewable Energy;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;1.87
Canoga Park;05/02/2011;1,11E+15;General Industrial Goods;Industrial Goods and Materials;Machinery and Industrial Goods;Los Angeles-Long Beach-Santa Ana, COAH;Southern California;Product Development;Later Stage;COAH;Los Angeles Metro;1;1;15
San Jose;05/02/2011;55370759146;General Purpose Integrated Circuits;Information Technology;Semiconductors;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;1.7
Los Angeles;05/03/2011;1,16E+16;Entertainment;Consumer Services;Consumer Information Services;Los Angeles-Long Beach-Santa Ana, COAH;Southern California;Generating Revenue;First Round;COAH;Los Angeles Metro;1;1;0.62
La Jolla;05/03/2011;55827759333;Biotechnology Therapeutics;Healthcare;Biopharmaceuticals;San Diego-Carlsbad-San Marcos, COAH;Southern California;Clinical Trials - Generic;Later Stage;COAH;San Diego Metro;1;1;1.5
La Jolla;05/03/2011;1,14E+16;Diagnostic Equipment (Not Imaging);Healthcare;Medical Devices and Equipment;San Diego-Carlsbad-San Marcos, COAH;Southern California;Product Development;Second Round;COAH;San Diego Metro;1;1;
Sunnyvale;05/03/2011;96269759341;General Purpose Integrated Circuits;Information Technology;Semiconductors;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;17.84
Santa Clara;05/03/2011;6,13E+16;Vertical Market Applications Software;Information Technology;Software;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Generating Revenue;Second Round;COAH;San Francisco Bay Area;1;1;16.7
Mountain View;05/04/2011;6,14E+15;Incubators/Business Development;Business and Financial Services;Business Support Services;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Startup;First Round;COAH;San Francisco Bay Area;1;1;3
San Francisco;05/04/2011;82201758858;IT Consulting;Business and Financial Services;Business Support Services;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;11
San Mateo;05/04/2011;60178761373;Advertising/Marketing;Business and Financial Services;Business Support Services;San Francisco-Oakland-Fremont, COAH;Northern California;Profitable;Later Stage;COAH;San Francisco Bay Area;1;1;6.1
San Francisco;05/04/2011;3,56E+15;Tobacco;Consumer Goods;Food and Beverage;San Francisco-Oakland-Fremont, COAH;Northern California;Product Development;First Round;COAH;San Francisco Bay Area;1;1;3.23
San Francisco;05/04/2011;3,59E+16;Online Communities;Consumer Services;Consumer Information Services;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;First Round;COAH;San Francisco Bay Area;1;1;5
San Jose;05/04/2011;6,15E+16;To Be Assigned;To Be Assigned;To Be Assigned;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Startup;First Round;COAH;San Francisco Bay Area;1;1;10.5
Cupertino;05/05/2011;84186761675;Communications Software;Information Technology;Software;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;
San Francisco;05/06/2011;78707758926;Advertising/Marketing;Business and Financial Services;Business Support Services;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;20
Milpitas;05/06/2011;1,83E+16;Therapeutic Devices (Invasive);Healthcare;Medical Devices and Equipment;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Product Development;Corporate;COAH;San Francisco Bay Area;1;1;
Alameda;05/06/2011;96173759538;Drug Development Technologies;Healthcare;Biopharmaceuticals;San Francisco-Oakland-Fremont, COAH;Northern California;Product Development;Later Stage;COAH;San Francisco Bay Area;1;1;7.48
Los Altos;05/06/2011;4,71E+16;Surgical Devices;Healthcare;Medical Devices and Equipment;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Product Development;Second Round;COAH;San Francisco Bay Area;1;1;0.88
Fremont;05/06/2011;66197759999;Power Supplies;Information Technology;Electronics and Computer Hardware;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;
Hayward;05/06/2011;3,58E+16;Power Supplies;Information Technology;Electronics and Computer Hardware;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;Second Round;COAH;San Francisco Bay Area;1;1;11
Santa Monica;05/09/2011;6,06E+16;Clothing/Accessory Retailers;Consumer Services;Retailers;Los Angeles-Long Beach-Santa Ana, COAH;Southern California;Profitable;Later Stage;COAH;Los Angeles Metro;1;1;40
San Jose;05/09/2011;1,02E+16;Diagnostic Imaging Equipment;Healthcare;Medical Devices and Equipment;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;6.5
San Diego;05/09/2011;70449759660;Biotechnology Therapeutics;Healthcare;Biopharmaceuticals;San Diego-Carlsbad-San Marcos, COAH;Southern California;Clinical Trials - Phase 1;Later Stage;COAH;San Diego Metro;1;1;
Palo Alto;05/09/2011;6,15E+16;Business Applications Software;Information Technology;Software;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Generating Revenue;First Round;COAH;San Francisco Bay Area;1;1;6.06
San Jose;05/09/2011;77056760372;Business Applications Software;Information Technology;Software;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Generating Revenue;Restart;COAH;San Francisco Bay Area;1;1;12.3
San Francisco;05/10/2011;6,07E+16;Advertising/Marketing;Business and Financial Services;Business Support Services;San Francisco-Oakland-Fremont, COAH;Northern California;Product Development;Second Round;COAH;San Francisco Bay Area;1;1;6
Redwood City;05/10/2011;6,06E+16;Surgical Devices;Healthcare;Medical Devices and Equipment;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;Second Round;COAH;San Francisco Bay Area;1;1;13.37
Palo Alto;05/10/2011;6,13E+16;Wireless Communications Equipment;Information Technology;Communications and Networking;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Product Development;First Round;COAH;San Francisco Bay Area;1;1;3.6
San Francisco;05/10/2011;6,14E+16;Database Software;Information Technology;Software;San Francisco-Oakland-Fremont, COAH;Northern California;Product Development;First Round;COAH;San Francisco Bay Area;1;1;3.05
San Mateo;05/11/2011;6,14E+16;Financial Institutions and Services: Other;Business and Financial Services;Financial Institutions and Services;San Francisco-Oakland-Fremont, COAH;Northern California;Product Development;First Round;COAH;San Francisco Bay Area;1;1;11
Palo Alto;05/11/2011;6,14E+16;Search Portals;Consumer Services;Consumer Information Services;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Generating Revenue;First Round;COAH;San Francisco Bay Area;1;1;1.2
San Francisco;05/11/2011;6,09E+16;Online Communities;Consumer Services;Consumer Information Services;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;Second Round;COAH;San Francisco Bay Area;1;1;18
La Jolla;05/11/2011;6,14E+16;Pharmaceuticals;Healthcare;Biopharmaceuticals;San Diego-Carlsbad-San Marcos, COAH;Southern California;Product Development;First Round;COAH;San Diego Metro;1;1;
Redwood City;05/11/2011;6,14E+16;Business Applications Software;Information Technology;Software;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;First Round;COAH;San Francisco Bay Area;1;1;
San Mateo;05/11/2011;6,14E+16;Database Software;Information Technology;Software;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;First Round;COAH;San Francisco Bay Area;1;1;7.5
Santa Clara;05/11/2011;6,14E+16;Wireless Telecommunications Service Providers;Information Technology;Communications and Networking;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Product Development;First Round;COAH;San Francisco Bay Area;1;1;9.8
Palo Alto;05/11/2011;3,56E+16;Business Applications Software;Information Technology;Software;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Generating Revenue;Second Round;COAH;San Francisco Bay Area;1;1;25
Mountain View;05/12/2011;6,14E+16;Data Management Services;Business and Financial Services;Business Support Services;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Generating Revenue;First Round;COAH;San Francisco Bay Area;1;1;1.5
San Francisco;05/12/2011;66310759183;Advertising/Marketing;Business and Financial Services;Business Support Services;San Francisco-Oakland-Fremont, COAH;Northern California;Product Development;Later Stage;COAH;San Francisco Bay Area;1;1;10
Pasadena;5/13/2011;87877759693;Advertising/Marketing;Business and Financial Services;Business Support Services;Los Angeles-Long Beach-Santa Ana, COAH;Southern California;Generating Revenue;Later Stage;COAH;Los Angeles Metro;1;1;20.02
Aliso Viejo;5/13/2011;1,05E+16;Therapeutic Devices (Minimally Invasive/Noninvasive);Healthcare;Medical Devices and Equipment;Los Angeles-Long Beach-Santa Ana, COAH;Southern California;Generating Revenue;Later Stage;COAH;Orange County;1;1;8
San Diego;5/13/2011;53742759818;Surgical Devices;Healthcare;Medical Devices and Equipment;San Diego-Carlsbad-San Marcos, COAH;Southern California;Generating Revenue;Later Stage;COAH;San Diego Metro;1;1;10
San Clemente;5/13/2011;61196759355;Therapeutic Devices (Invasive);Healthcare;Medical Devices and Equipment;Los Angeles-Long Beach-Santa Ana, COAH;Southern California;Clinical Trials - Generic;Restart;COAH;Orange County;1;1;107
Palo Alto;5/13/2011;1,05E+16;Software Development Tools;Information Technology;Software;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Generating Revenue;Second Round;COAH;San Francisco Bay Area;1;1;6.5
San Francisco;5/16/2011;1,14E+16;Data Management Services;Business and Financial Services;Business Support Services;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;Second Round;COAH;San Francisco Bay Area;1;1;0.8
San Francisco;5/16/2011;1,83E+16;Specialty Retailers;Consumer Services;Retailers;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;Second Round;COAH;San Francisco Bay Area;1;1;
San Francisco;5/16/2011;6,14E+16;Business Applications Software;Information Technology;Software;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;First Round;COAH;San Francisco Bay Area;1;1;6
San Mateo;5/16/2011;70968759299;Business Applications Software;Information Technology;Software;San Francisco-Oakland-Fremont, COAH;Northern California;Restart;Restart;COAH;San Francisco Bay Area;1;1;2
Irvine;5/16/2011;96829759664;Application-Specific Integrated Circuits;Information Technology;Semiconductors;Los Angeles-Long Beach-Santa Ana, COAH;Southern California;Generating Revenue;Restart;COAH;Orange County;1;1;20.49
San Diego;5/17/2011;3,58E+16;Drug Development Technologies;Healthcare;Biopharmaceuticals;San Diego-Carlsbad-San Marcos, COAH;Southern California;Generating Revenue;Second Round;COAH;San Diego Metro;1;1;20
San Jose;5/17/2011;59594759485;Multimedia/Streaming Software;Information Technology;Software;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Generating Revenue;Corporate;COAH;San Francisco Bay Area;1;1;
