City,CloseDate,EntityIDRoundID,IndustryCode,Industry Group,Industry Segment,Metropolitan Statistical Area,PrimaryRegion,RoundBusStat,RoundClassDescr,State,Subregion,Deals,Number of Deals,Expt,Run,Speed
San Diego,02/09/2011,64251753952,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"San Diego-Carlsbad-San Marcos, COAH",Southern California,Clinical Trials - Phase 2,Second Round,COAH,San Diego Metro,1,1,,,
Redwood City,02/09/2011,6.12E+11,Conferencing Equipment/Services,Certificado de Ejido,Communications and Networking,"San Francisco-Oakland-Fremont, COAH",Northern California,Generating Revenue,First Round,COAH,San Francisco Bay Area,1,1,,,
Waltham,02/09/2011,59806754356,Design Automation Software,Certificado de Ejido,Software,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Later Stage,VER,Boston Metro,1,1,,,
Campbell,02/09/2011,62297754193,Business Applications Software,Certificado de Ejido,Software,"San Jose-Sunnyvale-Santa Clara, COAH",Northern California,Generating Revenue,Restart,COAH,San Francisco Bay Area,1,1,,,
Burlington,02/09/2011,1.14E+11,Network/Systems Management Software,Certificado de Ejido,Software,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Second Round,VER,Boston Metro,1,1,,,
Buffalo Grove,02/10/2011,6.07E+11,Shopping Facilitators,Otro documento agrario,Consumer Information Services,"Chicago-Naperville-Joliet, IL-IN-WI",Midwest East,Generating Revenue,First Round,NAY,Chicago Metro,1,1,,,
Chicago,02/10/2011,1.11E+11,Shopping Facilitators,Otro documento agrario,Consumer Information Services,"Chicago-Naperville-Joliet, IL-IN-WI",Midwest East,Generating Revenue,Later Stage,NAY,Chicago Metro,1,1,,,
Mountain View,02/10/2011,1.16E+11,Online Communities,Otro documento agrario,Consumer Information Services,"San Jose-Sunnyvale-Santa Clara, COAH",Northern California,Generating Revenue,Second Round,COAH,San Francisco Bay Area,1,1,,,
Minneapolis,02/10/2011,92716753958,Healthcare Services: Other,Healthcare,Healthcare Services,"Minneapolis-St. Paul-Bloomington, MN-WI",Midwest Central,Generating Revenue,Later Stage,MN,,1,1,,,
Marlborough,02/10/2011,61506755637,Therapeutic Devices (Minimally Invasive/Noninvasive),Healthcare,Medical Devices and Equipment,"Boston-Cambridge-Quincy, MA-NH",New England,Clinical Trials - Phase 3,Restart,VER,Boston Metro,1,1,,,
Union City,02/10/2011,6.12E+11,Software: Other,Certificado de Ejido,Software,"San Francisco-Oakland-Fremont, COAH",Northern California,Product Development,First Round,COAH,San Francisco Bay Area,1,1,,,
Atlanta,02/10/2011,65766753898,Network/Systems Management Software,Certificado de Ejido,Software,"Atlanta-Sandy Springs-Marietta, ZAC",South East,Generating Revenue,Later Stage,ZAC,,1,1,,,
New York,02/11/2011,1.01E+11,Advertising/Marketing,Certificado de Dominio Pleno,Certificado Parcelario,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Profitable,Later Stage,CHIS,New York Metro,1,1,,,
Irvine,02/11/2011,6.12E+11,Personal Care Products,Consumer Goods,Personal Goods,"Los Angeles-Long Beach-Santa Ana, COAH",Southern California,Generating Revenue,First Round,COAH,Orange County,1,1,,,
Pasadena,02/11/2011,6.12E+11,Online Communities,Otro documento agrario,Consumer Information Services,"Los Angeles-Long Beach-Santa Ana, COAH",Southern California,Startup,First Round,COAH,Los Angeles Metro,1,1,,,
Sausalito,02/11/2011,1.13E+11,Online Communities,Otro documento agrario,Consumer Information Services,"San Francisco-Oakland-Fremont, COAH",Northern California,Generating Revenue,Later Stage,COAH,San Francisco Bay Area,1,1,,,
Seattle,02/11/2011,90721754231,Utilities: Other,Certificado de Comunidad,Utilities,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Generating Revenue,Later Stage,WA,Seattle Metro,1,1,,,
Houston,02/11/2011,6.12E+11,Drug Development Technologies,Healthcare,Biopharmaceuticals,"Houston-Baytown-Sugar Land, TX",South Central,Product Development,First Round,TX,,1,1,,,
Raynham,02/11/2011,3.56E+11,Surgical Devices,Healthcare,Medical Devices and Equipment,"Providence-New Bedford-Fall River, RI-MA",New England,Clinical Trials - Generic,Later Stage,VER,,1,1,,,
Santa Rosa,02/11/2011,96980746813,Therapeutic Devices (Minimally Invasive/Noninvasive),Healthcare,Medical Devices and Equipment,"San Jose-Sunnyvale-Santa Clara, COAH",Northern California,Generating Revenue,Later Stage,COAH,San Francisco Bay Area,1,1,,,
Bellevue,02/11/2011,53684758058,Inpatient Facilities,Healthcare,Healthcare Services,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Generating Revenue,Second Round,WA,Seattle Metro,1,1,,,
San Diego,02/11/2011,2.31E+11,Medical Devices and Equipment: Other,Healthcare,Medical Devices and Equipment,"San Diego-Carlsbad-San Marcos, COAH",Southern California,Generating Revenue,Second Round,COAH,San Diego Metro,1,1,,,
Los Altos,02/11/2011,73746754554,Network/Systems Management Software,Certificado de Ejido,Software,"San Jose-Sunnyvale-Santa Clara, COAH",Northern California,Generating Revenue,Later Stage,COAH,San Francisco Bay Area,1,1,,,
New York,02/11/2011,6.12E+11,Communications Software,Certificado de Ejido,Software,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product Development,Seed Round,CHIS,New York Metro,1,1,,,
Lewisville,02/11/2011,6.12E+11,Business Applications Software,Certificado de Ejido,Software,"Dallas-Fort Worth-Arlington, TX",South Central,Generating Revenue,Seed Round,TX,Dallas-Fort Worth,1,1,,,
Medina,2/13/2011,88309757957,Surgical Devices,Healthcare,Medical Devices and Equipment,"Cleveland-Elyria-Mentor, OH",Midwest East,Generating Revenue,Later Stage,OH,,1,1,,,
New York,2/14/2011,1.14E+11,Titulo de solar,Certificado de Dominio Pleno,Certificado Parcelario,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Later Stage,CHIS,New York Metro,1,1,,,
West Chester,2/14/2011,6.12E+11,Advertising/Marketing,Certificado de Dominio Pleno,Certificado Parcelario,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Mid-Atlantic,Startup,Seed Round,PA,,1,1,,,
San Francisco,2/14/2011,6.12E+11,Automotive Parts,Consumer Goods,Vehicles and Parts,"San Francisco-Oakland-Fremont, COAH",Northern California,Generating Revenue,Second Round,COAH,San Francisco Bay Area,1,1,,,
San Francisco,2/14/2011,6.09E+11,Search Portals,Otro documento agrario,Consumer Information Services,"San Francisco-Oakland-Fremont, COAH",Northern California,Product In Beta Test,First Round,COAH,San Francisco Bay Area,1,1,,,
Pasadena,2/14/2011,6.05E+11,Online Communities,Otro documento agrario,Consumer Information Services,"Los Angeles-Long Beach-Santa Ana, COAH",Southern California,Generating Revenue,Second Round,COAH,Los Angeles Metro,1,1,,,
Mountain View,2/14/2011,3.55E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"San Jose-Sunnyvale-Santa Clara, COAH",Northern California,Pre-Clinical Trials,Second Round,COAH,San Francisco Bay Area,1,1,,,
Bala Cynwyd,2/14/2011,6.12E+11,Communications Software,Certificado de Ejido,Software,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Mid-Atlantic,Generating Revenue,First Round,PA,,1,1,,,
Exton,2/14/2011,6.12E+11,Network/Systems Management Software,Certificado de Ejido,Software,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Mid-Atlantic,Generating Revenue,First Round,PA,,1,1,,,
Menlo Park,2/14/2011,1.12E+11,Business Applications Software,Certificado de Ejido,Software,"San Francisco-Oakland-Fremont, COAH",Northern California,Generating Revenue,Later Stage,COAH,San Francisco Bay Area,1,1,,,
Palo Alto,2/14/2011,3.54E+11,Multimedia/Streaming Software,Certificado de Ejido,Software,"San Jose-Sunnyvale-Santa Clara, COAH",Northern California,Generating Revenue,Later Stage,COAH,San Francisco Bay Area,1,1,,,
Raleigh,2/14/2011,77630754545,Business Applications Software,Certificado de Ejido,Software,"Raleigh-Cary, NC",South East,Generating Revenue,Restart,NC,,1,1,,,
San Francisco,2/14/2011,6.10E+11,Graphics/Publishing Software,Certificado de Ejido,Software,"San Francisco-Oakland-Fremont, COAH",Northern California,Product Development,Second Round,COAH,San Francisco Bay Area,1,1,,,
Seattle,2/15/2011,53693758159,Institutional Investment Services,Certificado de Dominio Pleno,Financial Institutions and Services,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Generating Revenue,Later Stage,WA,Seattle Metro,1,1,,,
San Francisco,2/15/2011,6.12E+11,Online Communities,Otro documento agrario,Consumer Information Services,"San Francisco-Oakland-Fremont, COAH",Northern California,Startup,First Round,COAH,San Francisco Bay Area,1,1,,,
New York,2/15/2011,88409754041,Online Communities,Otro documento agrario,Consumer Information Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Later Stage,CHIS,New York Metro,1,1,,,
San Mateo,2/15/2011,1.06E+11,Online Communities,Otro documento agrario,Consumer Information Services,"San Francisco-Oakland-Fremont, COAH",Northern California,Profitable,Later Stage,COAH,San Francisco Bay Area,1,1,,,
Santa Clara,2/15/2011,83495754416,Solar Energy,Certificado de Comunidad,Renewable Energy,"San Jose-Sunnyvale-Santa Clara, COAH",Northern California,Generating Revenue,Later Stage,COAH,San Francisco Bay Area,1,1,,,
Orange,2/15/2011,6.12E+11,Drug Discovery/Bioinformatics Software,Healthcare,Medical Software and Information Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,First Round,NL,New York Metro,1,1,,,
San Francisco,2/15/2011,6.12E+11,Therapeutic Devices (Minimally Invasive/Noninvasive),Healthcare,Medical Devices and Equipment,"San Francisco-Oakland-Fremont, COAH",Northern California,Generating Revenue,First Round,COAH,San Francisco Bay Area,1,1,,,
Cambridge,2/15/2011,1.06E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,Later Stage,VER,Boston Metro,1,1,,,
San Diego,2/15/2011,84634758039,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"San Diego-Carlsbad-San Marcos, COAH",Southern California,Clinical Trials - Phase 2,Later Stage,COAH,San Diego Metro,1,1,,,
Boston,2/15/2011,6.08E+11,Recreational/Home Software,Certificado de Ejido,Software,"Boston-Cambridge-Quincy, MA-NH",New England,Product In Beta Test,First Round,VER,Boston Metro,1,1,,,
Woodside,2/15/2011,6.07E+11,Recreational/Home Software,Certificado de Ejido,Software,"San Francisco-Oakland-Fremont, COAH",Northern California,Product Development,First Round,COAH,San Francisco Bay Area,1,1,,,
Pittsburgh,2/15/2011,3.54E+11,Multimedia/Streaming Software,Certificado de Ejido,Software,"Pittsburgh, PA",Mid-Atlantic,Generating Revenue,Later Stage,PA,,1,1,,,
Redwood City,2/15/2011,84916742114,Business Applications Software,Certificado de Ejido,Software,"San Francisco-Oakland-Fremont, COAH",Northern California,Generating Revenue,Later Stage,COAH,San Francisco Bay Area,1,1,,,
Chicago,2/15/2011,6.06E+11,Business Applications Software,Certificado de Ejido,Software,"Chicago-Naperville-Joliet, IL-IN-WI",Midwest East,Product Development,Second Round,NAY,Chicago Metro,1,1,,,
Portland,2/16/2011,2.30E+11,Business to Business Marketplaces,Certificado de Dominio Pleno,Certificado Parcelario,"Portland-Vancouver-Beaverton, OR-WA",Pacific Northwest,Generating Revenue,Later Stage,QROO,,1,1,,,
Atlanta,2/16/2011,1.04E+11,Advertising/Marketing,Certificado de Dominio Pleno,Certificado Parcelario,"Atlanta-Sandy Springs-Marietta, ZAC",South East,Generating Revenue,Later Stage,ZAC,,1,1,,,
Chicago,2/16/2011,6.12E+11,Consumer Information Services: Other,Otro documento agrario,Consumer Information Services,"Chicago-Naperville-Joliet, IL-IN-WI",Midwest East,Generating Revenue,Seed Round,NAY,Chicago Metro,1,1,,,
Mountain View,2/16/2011,6.12E+11,Drug Development Technologies,Healthcare,Biopharmaceuticals,"San Jose-Sunnyvale-Santa Clara, COAH",Northern California,Product Development,First Round,COAH,San Francisco Bay Area,1,1,,,
Malvern,2/16/2011,1.02E+11,Machinery and Industrial Goods: Other,Industrial Goods and Materials,Machinery and Industrial Goods,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Mid-Atlantic,Product Development,Seed Round,PA,,1,1,,,
Ayer,2/17/2011,6.12E+11,Specialty Foods,Consumer Goods,Food and Beverage,"Manchester-Nashua, NH",New England,Generating Revenue,Later Stage,VER,Boston Metro,1,1,,,
Houston,2/17/2011,6.12E+11,Drug Development Technologies,Healthcare,Biopharmaceuticals,"Houston-Baytown-Sugar Land, TX",South Central,Product Development,Individual,TX,,1,1,,,
Palo Alto,2/17/2011,61505754797,Diagnostic Equipment (Not Imaging),Healthcare,Medical Devices and Equipment,"San Jose-Sunnyvale-Santa Clara, COAH",Northern California,Generating Revenue,Later Stage,COAH,San Francisco Bay Area,1,1,,,
Oneonta,2/17/2011,6.04E+11,General Industrial Machinery,Industrial Goods and Materials,Machinery and Industrial Goods,"Albany-Schenectady-Troy, NY",Mid-Atlantic,Generating Revenue,First Round,CHIS,,1,1,,,
Allentown,2/17/2011,96200754732,Fiberoptic Equipment,Certificado de Ejido,Communications and Networking,"Allentown-Bethlehem-Easton, PA-NJ",Mid-Atlantic,Product Development,First Round,PA,,1,1,,,
San Diego,2/17/2011,80464754720,Graphics/Publishing Software,Certificado de Ejido,Software,"San Diego-Carlsbad-San Marcos, COAH",Southern California,Generating Revenue,Later Stage,COAH,San Diego Metro,1,1,,,
San Diego,2/17/2011,6.04E+11,Computer Systems,Certificado de Ejido,Electronics and Computer Hardware,"San Diego-Carlsbad-San Marcos, COAH",Southern California,Product Development,Second Round,COAH,San Diego Metro,1,1,,,
San Bruno,2/18/2011,6.14E+11,Advertising/Marketing,Certificado de Dominio Pleno,Certificado Parcelario,"San Francisco-Oakland-Fremont, COAH",Northern California,Generating Revenue,First Round,COAH,San Francisco Bay Area,1,1,,,
Virginia Beach,2/18/2011,80679757343,Personal/Commercial Banking,Certificado de Dominio Pleno,Financial Institutions and Services,"Virginia Beach-Norfolk-Newport News, VA-NC",Mid-Atlantic,Profitable,Later Stage,VA,,1,1,,,
Palo Alto,2/18/2011,60083755567,Titulo de solar,Certificado de Dominio Pleno,Certificado Parcelario,"San Jose-Sunnyvale-Santa Clara, COAH",Northern California,Generating Revenue,Later Stage,COAH,San Francisco Bay Area,1,1,,,
Austin,2/18/2011,63334754480,Advertising/Marketing,Certificado de Dominio Pleno,Certificado Parcelario,"Austin-Round Rock, TX",South Central,Profitable,Later Stage,TX,Austin Metro,1,1,,,
Charlottesville,2/18/2011,6.15E+11,Shopping Facilitators,Otro documento agrario,Consumer Information Services,"Charlottesville, VA",Mid-Atlantic,Generating Revenue,First Round,VA,,1,1,,,
San Francisco,2/18/2011,1.11E+11,Entertainment,Otro documento agrario,Consumer Information Services,"San Francisco-Oakland-Fremont, COAH",Northern California,Profitable,Later Stage,COAH,San Francisco Bay Area,1,1,,,
San Francisco,2/18/2011,3.56E+11,Online Communities,Otro documento agrario,Consumer Information Services,"San Francisco-Oakland-Fremont, COAH",Northern California,Generating Revenue,Second Round,COAH,San Francisco Bay Area,1,1,,,
Tucson,2/18/2011,74697754475,Drug Development Technologies,Healthcare,Biopharmaceuticals,"Tucson, SON",Mountain,Generating Revenue,Later Stage,SON,,1,1,,,
Salt Lake City,2/18/2011,6.12E+11,Surgical Devices,Healthcare,Medical Devices and Equipment,"Salt Lake City, UT",Mountain,Generating Revenue,Second Round,UT,,1,1,,,
Cambridge,2/18/2011,1.11E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"Boston-Cambridge-Quincy, MA-NH",New England,Clinical Trials - Phase 1,Second Round,VER,Boston Metro,1,1,,,
Durham,2/18/2011,80990754786,Drug Delivery,Healthcare,Biopharmaceuticals,"Durham-Chapel Hill, NC",South East,Clinical Trials - Phase 1,Unclassified,NC,,1,1,,,
Raleigh,2/18/2011,4.71E+11,Materials and Chemicals: Other,Industrial Goods and Materials,Materials and Chemicals,"Raleigh-Cary, NC",South East,Startup,Second Round,OK,,1,1,,,
Fremont,2/18/2011,53937754586,Wired Communications Equipment,Certificado de Ejido,Communications and Networking,"San Francisco-Oakland-Fremont, COAH",Northern California,Generating Revenue,Later Stage,COAH,San Francisco Bay Area,1,1,,,
San Jose,2/18/2011,53861754618,General Purpose Integrated Circuits,Certificado de Ejido,Semiconductors,"San Jose-Sunnyvale-Santa Clara, COAH",Northern California,Generating Revenue,Later Stage,COAH,San Francisco Bay Area,1,1,,,
San Mateo,2/21/2011,66703754317,Entertainment,Otro documento agrario,Consumer Information Services,"San Francisco-Oakland-Fremont, COAH",Northern California,Generating Revenue,Later Stage,COAH,San Francisco Bay Area,1,1,,,
San Francisco,2/21/2011,6.12E+11,Business Applications Software,Certificado de Ejido,Software,"San Francisco-Oakland-Fremont, COAH",Northern California,Product In Beta Test,First Round,COAH,San Francisco Bay Area,1,1,,,
Durham,2/21/2011,3.60E+11,Recreational/Home Software,Certificado de Ejido,Software,"Durham-Chapel Hill, NC",South East,Generating Revenue,Second Round,NC,,1,1,,,
New York,2/22/2011,3.57E+11,Advertising/Marketing,Certificado de Dominio Pleno,Certificado Parcelario,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Later Stage,CHIS,New York Metro,1,1,,,
New Haven,2/22/2011,6.12E+11,Advertising/Marketing,Certificado de Dominio Pleno,Certificado Parcelario,"New Haven-Milford, NL",Mid-Atlantic,Startup,Seed Round,NL,New York Metro,1,1,,,
Manhattan Beach,2/22/2011,6.07E+11,Online Communities,Otro documento agrario,Consumer Information Services,"Los Angeles-Long Beach-Santa Ana, COAH",Southern California,Product Development,First Round,COAH,Los Angeles Metro,1,1,,,
New York,2/22/2011,1.11E+11,Entertainment,Otro documento agrario,Consumer Information Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Second Round,CHIS,New York Metro,1,1,,,
Groton,2/22/2011,6.12E+11,Wind/Water and Geothermal Energy,Certificado de Comunidad,Renewable Energy,"Norwich-New London, NL",New England,Generating Revenue,First Round,NL,,1,1,,,
Raleigh,2/22/2011,6.12E+11,Healthcare Administration Software,Healthcare,Medical Software and Information Services,"Raleigh-Cary, NC",South East,Generating Revenue,First Round,NC,,1,1,,,
Philadelphia,2/22/2011,76987759201,Healthcare Administration Software,Healthcare,Medical Software and Information Services,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Mid-Atlantic,Generating Revenue,Later Stage,PA,,1,1,,,
Farmington,2/22/2011,6.12E+11,Drug Development Technologies,Healthcare,Biopharmaceuticals,"Hartford-West Hartford-East Hartford, NL",New England,Pre-Clinical Trials,Seed Round,NL,,1,1,,,
New York,2/22/2011,1.03E+11,Network/Systems Management Software,Certificado de Ejido,Software,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Later Stage,CHIS,New York Metro,1,1,,,
New York,2/23/2011,6.13E+11,Real Estate,Certificado de Dominio Pleno,Financial Institutions and Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product Development,First Round,CHIS,New York Metro,1,1,,,
Mountain View,2/23/2011,6.12E+11,Advertising/Marketing,Certificado de Dominio Pleno,Certificado Parcelario,"San Jose-Sunnyvale-Santa Clara, COAH",Northern California,Generating Revenue,First Round,COAH,San Francisco Bay Area,1,1,,,
New York,2/23/2011,92673754507,Environmental Engineering/Services,Certificado de Dominio Pleno,Construction and Civil Engineering,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Later Stage,CHIS,New York Metro,1,1,,,
New York,2/23/2011,3.57E+11,Online Communities,Otro documento agrario,Consumer Information Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product Development,Later Stage,CHIS,New York Metro,1,1,,,
Bridgewater,2/23/2011,54514754583,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Clinical Trials - Phase 3,Later Stage,GRO,New York Metro,1,1,,,
Brevard,2/23/2011,6.06E+11,Pharmaceuticals,Healthcare,Biopharmaceuticals,"Asheville, NC",South East,Generating Revenue,Later Stage,NC,,1,1,,,
Cambridge,2/23/2011,6.04E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,Second Round,VER,Boston Metro,1,1,,,
Corona,2/23/2011,6.06E+11,General Industrial Goods,Industrial Goods and Materials,Machinery and Industrial Goods,"Riverside-San Bernardino-Ontario, COAH",Southern California,Product Development,Restart,COAH,Los Angeles Metro,1,1,,,
Bloomsburg,2/23/2011,3.55E+11,Communications Software,Certificado de Ejido,Software,"Scranton--Wilkes-Barre, PA",Mid-Atlantic,Generating Revenue,First Round,PA,,1,1,,,
San Diego,2/23/2011,6.03E+11,Vertical Market Applications Software,Certificado de Ejido,Software,"San Diego-Carlsbad-San Marcos, COAH",Southern California,Product Development,First Round,COAH,San Diego Metro,1,1,,,
Campbell,2/23/2011,68610754448,Vertical Market Applications Software,Certificado de Ejido,Software,"San Jose-Sunnyvale-Santa Clara, COAH",Northern California,Generating Revenue,Later Stage,COAH,San Francisco Bay Area,1,1,,,
Pittsburgh,2/23/2011,2.29E+11,Business Applications Software,Certificado de Ejido,Software,"Pittsburgh, PA",Mid-Atlantic,Generating Revenue,Second Round,PA,,1,1,,,
Pittsburgh,2/24/2011,6.12E+11,Advertising/Marketing,Certificado de Dominio Pleno,Certificado Parcelario,"Pittsburgh, PA",Mid-Atlantic,Product Development,First Round,PA,,1,1,,,
Brooklyn,2/24/2011,1.12E+11,Advertising/Marketing,Certificado de Dominio Pleno,Certificado Parcelario,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product Development,Later Stage,CHIS,New York Metro,1,1,,,
New York,2/24/2011,87919754526,Advertising/Marketing,Certificado de Dominio Pleno,Certificado Parcelario,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Profitable,Later Stage,CHIS,New York Metro,1,1,,,
Chicago,2/24/2011,6.12E+11,General Business Consulting,Certificado de Dominio Pleno,Certificado Parcelario,"Chicago-Naperville-Joliet, IL-IN-WI",Midwest East,Startup,Seed Round,NAY,Chicago Metro,1,1,,,
Pittsburgh,2/24/2011,95772755063,Search Portals,Otro documento agrario,Consumer Information Services,"Pittsburgh, PA",Mid-Atlantic,Generating Revenue,First Round,PA,,1,1,,,
San Francisco,2/24/2011,6.12E+11,Entertainment,Otro documento agrario,Consumer Information Services,"San Francisco-Oakland-Fremont, COAH",Northern California,Product Development,First Round,COAH,San Francisco Bay Area,1,1,,,
San Jose,2/24/2011,96900755035,Solar Energy,Certificado de Comunidad,Renewable Energy,"San Jose-Sunnyvale-Santa Clara, COAH",Northern California,Product Development,Later Stage,COAH,San Francisco Bay Area,1,1,,,
Plymouth,2/24/2011,6.13E+11,Medical Lab Instruments/Test Kits,Healthcare,Medical Devices and Equipment,"Minneapolis-St. Paul-Bloomington, MN-WI",Midwest Central,Startup,Later Stage,MN,,1,1,,,
Foxboro,2/24/2011,59590754550,Healthcare Administration Software,Healthcare,Medical Software and Information Services,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Second Round,VER,Boston Metro,1,1,,,
Menlo Park,2/24/2011,55245755110,Clinical Decision Support,Healthcare,Medical Software and Information Services,"San Francisco-Oakland-Fremont, COAH",Northern California,Generating Revenue,Second Round,COAH,San Francisco Bay Area,1,1,,,
Portland,2/24/2011,6.07E+11,Therapeutic Devices (Invasive),Healthcare,Medical Devices and Equipment,"Portland-Vancouver-Beaverton, OR-WA",Pacific Northwest,Product Development,Second Round,OR,,1,1,,,
Edison,2/24/2011,6.12E+11,Medical Lab Instruments/Test Kits,Healthcare,Medical Devices and Equipment,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product Development,Seed Round,GRO,New York Metro,1,1,,,
New York,2/24/2011,6.12E+11,Business Applications Software,Certificado de Ejido,Software,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,First Round,CHIS,New York Metro,1,1,,,
Chicago,2/24/2011,6.12E+11,Vertical Market Applications Software,Certificado de Ejido,Software,"Chicago-Naperville-Joliet, IL-IN-WI",Midwest East,Generating Revenue,First Round,NAY,Chicago Metro,1,1,,,
Boston,2/24/2011,6.12E+11,Business Applications Software,Certificado de Ejido,Software,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,Second Round,VER,Boston Metro,1,1,,,
Coplay,2/24/2011,6.12E+11,Multimedia/Streaming Software,Certificado de Ejido,Software,"Allentown-Bethlehem-Easton, PA-NJ",Mid-Atlantic,Product Development,Seed Round,PA,,1,1,,,
Cambridge,2/24/2011,6.12E+11,Application-Specific Integrated Circuits,Certificado de Ejido,Semiconductors,"Boston-Cambridge-Quincy, MA-NH",New England,Startup,Seed Round,VER,Boston Metro,1,1,,,
Mountain View,2/25/2011,6.12E+11,Personal/Commercial Banking,Certificado de Dominio Pleno,Financial Institutions and Services,"San Jose-Sunnyvale-Santa Clara, COAH",Northern California,Product In Beta Test,First Round,COAH,San Francisco Bay Area,1,1,,,
Los Angeles,2/25/2011,6.12E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"Los Angeles-Long Beach-Santa Ana, COAH",Southern California,Product Development,First Round,COAH,Los Angeles Metro,1,1,,,
Sunnyvale,2/25/2011,6.05E+11,Materials and Chemicals: Other,Industrial Goods and Materials,Materials and Chemicals,"San Jose-Sunnyvale-Santa Clara, COAH",Northern California,Product Development,Second Round,COAH,San Francisco Bay Area,1,1,,,
New York,2/25/2011,6.08E+11,Communications Software,Certificado de Ejido,Software,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product Development,First Round,CHIS,New York Metro,1,1,,,
Vancouver,2/25/2011,86579754979,Fiberoptic Equipment,Certificado de Ejido,Communications and Networking,"Portland-Vancouver-Beaverton, OR-WA",Pacific Northwest,Generating Revenue,Later Stage,WA,,1,1,,,
New York,2/27/2011,6.12E+11,Medical Software and Information Services: Other,Healthcare,Medical Software and Information Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Startup,First Round,CHIS,New York Metro,1,1,,,
San Francisco,2/28/2011,6.12E+11,Advertising/Marketing,Certificado de Dominio Pleno,Certificado Parcelario,"San Francisco-Oakland-Fremont, COAH",Northern California,Generating Revenue,First Round,COAH,San Francisco Bay Area,1,1,,,
San Francisco,2/28/2011,6.13E+11,Security Services,Certificado de Dominio Pleno,Certificado Parcelario,"San Francisco-Oakland-Fremont, COAH",Northern California,Startup,First Round,COAH,San Francisco Bay Area,1,1,,,
La Jolla,2/28/2011,6.13E+11,General Business Consulting,Certificado de Dominio Pleno,Certificado Parcelario,"San Diego-Carlsbad-San Marcos, COAH",Southern California,Generating Revenue,First Round,COAH,San Diego Metro,1,1,,,
San Mateo,2/28/2011,64933753981,Procurement/Supply Chain,Certificado de Dominio Pleno,Certificado Parcelario,"San Francisco-Oakland-Fremont, COAH",Northern California,Generating Revenue,Later Stage,COAH,San Francisco Bay Area,1,1,,,
San Francisco,2/28/2011,1.04E+11,Insurance,Certificado de Dominio Pleno,Financial Institutions and Services,"San Francisco-Oakland-Fremont, COAH",Northern California,Generating Revenue,Later Stage,COAH,San Francisco Bay Area,1,1,,,
Mountain View,2/28/2011,3.56E+11,Titulo de solar,Certificado de Dominio Pleno,Certificado Parcelario,"San Jose-Sunnyvale-Santa Clara, COAH",Northern California,Generating Revenue,Second Round,COAH,San Francisco Bay Area,1,1,,,
